494	Yaiza	16 924	Las Palmas	 Canarias
495	Guadarrama	16 921	 Comunidad de Madrid
496	Fuenterrabía	16 904	 Guipúzcoa	 País Vasco
497	Guernica y Luno	16 855	 Vizcaya	 País Vasco
498	Albal	16 845	Valencia	 Comunidad Valenciana
499	La Garriga	16 788	 Barcelona	 Cataluña
500	Piera	16 787	 Barcelona	 Cataluña
501	Navalmoral de la Mata	16 784	 Cáceres	 Extremadura
502	Berga	16 762	 Barcelona	 Cataluña
503	Canovellas	16 761	 Barcelona	 Cataluña
504	Bermeo	16 755	 Vizcaya	 País Vasco
505	Montornés del Vallés	16 707	 Barcelona	 Cataluña
506	Zafra	16 702	 Badajoz	 Extremadura
507	Sada	16 627	La Coruña	 Galicia
508	El Escorial	16 618	 Comunidad de Madrid
509	Puerto Lumbreras	16 564	 Región de Murcia
510	La Algaba	16 491	 Sevilla	 Andalucía
511	Espartinas	16 401	 Sevilla	 Andalucía
512	Cubellas	16 386	 Barcelona	 Cataluña
513	Las Cabezas de San Juan	16 386	 Sevilla	 Andalucía
514	Ubrique	16 382	 Cádiz	 Andalucía
515	Chiva	16 285	Valencia	 Comunidad Valenciana
516	Masamagrell	16 223	Valencia	 Comunidad Valenciana
517	Punta Umbría	16 167	 Huelva	 Andalucía
518	Arenys de Mar	16 155	 Barcelona	 Cataluña
519	Guardamar del Segura	16 138	Alicante	 Comunidad Valenciana
520	Santomera	16 125	 Región de Murcia
521	Alcañiz	16 029	 Teruel	 Aragón
522	Churriana de la Vega	16 026	 Granada	 Andalucía
523	Carlet	15 945	Valencia	 Comunidad Valenciana
